,recipe,amount,unit,ingredient,price,instruction
0,coconut-red-lentil-soup-recipe,1.0,236.6,/ 7 oz / 200g yellow split peas,37.46,"Give the split peas and lentils a good rinse - until they no longer put off murky water. Place them in an extra-large soup pot, cover with the water, and bring to a boil. Reduce heat to a simmer and add the carrot and 1/4 of the ginger. Cover and simmer for about 30 minutes, or until the split peas are soft. In the meantime, in a small dry skillet or saucepan over low heat, toast the curry powder until it is quite fragrant. Be careful though, you don't want to burn the curry powder, just toast it. Set aside. Place the butter in a pan over medium heat, add half of the green onions, the remaining ginger, and raisins. Saute for two minutes stirring constantly, then add the tomato paste and saute for another minute or two more. Add the toasted curry powder to the tomato paste mixture, mix well, and then add this to the simmering soup along with the coconut milk and salt. Simmer, uncovered, for 20 minutes or so. The texture should thicken up, but you can play around with the consistency if you like by adding more water, a bit at a time, if you like. Or simmer longer for a thicker consistency. The thicker this soup got, the more I liked it. I've been enjoying big ladles of this soup over ~1/2 cup of warm farro (leftover from this Farro & Bean Stew) - brown rice was good as well. Sprinkle each bowl generously with cilantro and the remaining green onions."
1,coconut-red-lentil-soup-recipe,1.0,236.6,7 oz / 200g red split lentils (masoor dal),37.46,"Give the split peas and lentils a good rinse - until they no longer put off murky water. Place them in an extra-large soup pot, cover with the water, and bring to a boil. Reduce heat to a simmer and add the carrot and 1/4 of the ginger. Cover and simmer for about 30 minutes, or until the split peas are soft. In the meantime, in a small dry skillet or saucepan over low heat, toast the curry powder until it is quite fragrant. Be careful though, you don't want to burn the curry powder, just toast it. Set aside. Place the butter in a pan over medium heat, add half of the green onions, the remaining ginger, and raisins. Saute for two minutes stirring constantly, then add the tomato paste and saute for another minute or two more. Add the toasted curry powder to the tomato paste mixture, mix well, and then add this to the simmering soup along with the coconut milk and salt. Simmer, uncovered, for 20 minutes or so. The texture should thicken up, but you can play around with the consistency if you like by adding more water, a bit at a time, if you like. Or simmer longer for a thicker consistency. The thicker this soup got, the more I liked it. I've been enjoying big ladles of this soup over ~1/2 cup of warm farro (leftover from this Farro & Bean Stew) - brown rice was good as well. Sprinkle each bowl generously with cilantro and the remaining green onions."
2,coconut-red-lentil-soup-recipe,7.0,236.6,/ 1.6 liters water,37.46,"Give the split peas and lentils a good rinse - until they no longer put off murky water. Place them in an extra-large soup pot, cover with the water, and bring to a boil. Reduce heat to a simmer and add the carrot and 1/4 of the ginger. Cover and simmer for about 30 minutes, or until the split peas are soft. In the meantime, in a small dry skillet or saucepan over low heat, toast the curry powder until it is quite fragrant. Be careful though, you don't want to burn the curry powder, just toast it. Set aside. Place the butter in a pan over medium heat, add half of the green onions, the remaining ginger, and raisins. Saute for two minutes stirring constantly, then add the tomato paste and saute for another minute or two more. Add the toasted curry powder to the tomato paste mixture, mix well, and then add this to the simmering soup along with the coconut milk and salt. Simmer, uncovered, for 20 minutes or so. The texture should thicken up, but you can play around with the consistency if you like by adding more water, a bit at a time, if you like. Or simmer longer for a thicker consistency. The thicker this soup got, the more I liked it. I've been enjoying big ladles of this soup over ~1/2 cup of warm farro (leftover from this Farro & Bean Stew) - brown rice was good as well. Sprinkle each bowl generously with cilantro and the remaining green onions."
3,coconut-red-lentil-soup-recipe,1.0,-1.0,medium carrot,37.46,"Give the split peas and lentils a good rinse - until they no longer put off murky water. Place them in an extra-large soup pot, cover with the water, and bring to a boil. Reduce heat to a simmer and add the carrot and 1/4 of the ginger. Cover and simmer for about 30 minutes, or until the split peas are soft. In the meantime, in a small dry skillet or saucepan over low heat, toast the curry powder until it is quite fragrant. Be careful though, you don't want to burn the curry powder, just toast it. Set aside. Place the butter in a pan over medium heat, add half of the green onions, the remaining ginger, and raisins. Saute for two minutes stirring constantly, then add the tomato paste and saute for another minute or two more. Add the toasted curry powder to the tomato paste mixture, mix well, and then add this to the simmering soup along with the coconut milk and salt. Simmer, uncovered, for 20 minutes or so. The texture should thicken up, but you can play around with the consistency if you like by adding more water, a bit at a time, if you like. Or simmer longer for a thicker consistency. The thicker this soup got, the more I liked it. I've been enjoying big ladles of this soup over ~1/2 cup of warm farro (leftover from this Farro & Bean Stew) - brown rice was good as well. Sprinkle each bowl generously with cilantro and the remaining green onions."
4,coconut-red-lentil-soup-recipe,2.0,14.8,fresh peeled and minced ginger,37.46,"Give the split peas and lentils a good rinse - until they no longer put off murky water. Place them in an extra-large soup pot, cover with the water, and bring to a boil. Reduce heat to a simmer and add the carrot and 1/4 of the ginger. Cover and simmer for about 30 minutes, or until the split peas are soft. In the meantime, in a small dry skillet or saucepan over low heat, toast the curry powder until it is quite fragrant. Be careful though, you don't want to burn the curry powder, just toast it. Set aside. Place the butter in a pan over medium heat, add half of the green onions, the remaining ginger, and raisins. Saute for two minutes stirring constantly, then add the tomato paste and saute for another minute or two more. Add the toasted curry powder to the tomato paste mixture, mix well, and then add this to the simmering soup along with the coconut milk and salt. Simmer, uncovered, for 20 minutes or so. The texture should thicken up, but you can play around with the consistency if you like by adding more water, a bit at a time, if you like. Or simmer longer for a thicker consistency. The thicker this soup got, the more I liked it. I've been enjoying big ladles of this soup over ~1/2 cup of warm farro (leftover from this Farro & Bean Stew) - brown rice was good as well. Sprinkle each bowl generously with cilantro and the remaining green onions."
5,coconut-red-lentil-soup-recipe,2.0,14.8,curry powder,37.46,"Give the split peas and lentils a good rinse - until they no longer put off murky water. Place them in an extra-large soup pot, cover with the water, and bring to a boil. Reduce heat to a simmer and add the carrot and 1/4 of the ginger. Cover and simmer for about 30 minutes, or until the split peas are soft. In the meantime, in a small dry skillet or saucepan over low heat, toast the curry powder until it is quite fragrant. Be careful though, you don't want to burn the curry powder, just toast it. Set aside. Place the butter in a pan over medium heat, add half of the green onions, the remaining ginger, and raisins. Saute for two minutes stirring constantly, then add the tomato paste and saute for another minute or two more. Add the toasted curry powder to the tomato paste mixture, mix well, and then add this to the simmering soup along with the coconut milk and salt. Simmer, uncovered, for 20 minutes or so. The texture should thicken up, but you can play around with the consistency if you like by adding more water, a bit at a time, if you like. Or simmer longer for a thicker consistency. The thicker this soup got, the more I liked it. I've been enjoying big ladles of this soup over ~1/2 cup of warm farro (leftover from this Farro & Bean Stew) - brown rice was good as well. Sprinkle each bowl generously with cilantro and the remaining green onions."
6,coconut-red-lentil-soup-recipe,2.0,14.8,butter,37.46,"Give the split peas and lentils a good rinse - until they no longer put off murky water. Place them in an extra-large soup pot, cover with the water, and bring to a boil. Reduce heat to a simmer and add the carrot and 1/4 of the ginger. Cover and simmer for about 30 minutes, or until the split peas are soft. In the meantime, in a small dry skillet or saucepan over low heat, toast the curry powder until it is quite fragrant. Be careful though, you don't want to burn the curry powder, just toast it. Set aside. Place the butter in a pan over medium heat, add half of the green onions, the remaining ginger, and raisins. Saute for two minutes stirring constantly, then add the tomato paste and saute for another minute or two more. Add the toasted curry powder to the tomato paste mixture, mix well, and then add this to the simmering soup along with the coconut milk and salt. Simmer, uncovered, for 20 minutes or so. The texture should thicken up, but you can play around with the consistency if you like by adding more water, a bit at a time, if you like. Or simmer longer for a thicker consistency. The thicker this soup got, the more I liked it. I've been enjoying big ladles of this soup over ~1/2 cup of warm farro (leftover from this Farro & Bean Stew) - brown rice was good as well. Sprinkle each bowl generously with cilantro and the remaining green onions."
7,coconut-red-lentil-soup-recipe,8.0,-1.0,green onions or scallions,37.46,"Give the split peas and lentils a good rinse - until they no longer put off murky water. Place them in an extra-large soup pot, cover with the water, and bring to a boil. Reduce heat to a simmer and add the carrot and 1/4 of the ginger. Cover and simmer for about 30 minutes, or until the split peas are soft. In the meantime, in a small dry skillet or saucepan over low heat, toast the curry powder until it is quite fragrant. Be careful though, you don't want to burn the curry powder, just toast it. Set aside. Place the butter in a pan over medium heat, add half of the green onions, the remaining ginger, and raisins. Saute for two minutes stirring constantly, then add the tomato paste and saute for another minute or two more. Add the toasted curry powder to the tomato paste mixture, mix well, and then add this to the simmering soup along with the coconut milk and salt. Simmer, uncovered, for 20 minutes or so. The texture should thicken up, but you can play around with the consistency if you like by adding more water, a bit at a time, if you like. Or simmer longer for a thicker consistency. The thicker this soup got, the more I liked it. I've been enjoying big ladles of this soup over ~1/2 cup of warm farro (leftover from this Farro & Bean Stew) - brown rice was good as well. Sprinkle each bowl generously with cilantro and the remaining green onions."
8,coconut-red-lentil-soup-recipe,3.0,14.8,golden raisins,37.46,"Give the split peas and lentils a good rinse - until they no longer put off murky water. Place them in an extra-large soup pot, cover with the water, and bring to a boil. Reduce heat to a simmer and add the carrot and 1/4 of the ginger. Cover and simmer for about 30 minutes, or until the split peas are soft. In the meantime, in a small dry skillet or saucepan over low heat, toast the curry powder until it is quite fragrant. Be careful though, you don't want to burn the curry powder, just toast it. Set aside. Place the butter in a pan over medium heat, add half of the green onions, the remaining ginger, and raisins. Saute for two minutes stirring constantly, then add the tomato paste and saute for another minute or two more. Add the toasted curry powder to the tomato paste mixture, mix well, and then add this to the simmering soup along with the coconut milk and salt. Simmer, uncovered, for 20 minutes or so. The texture should thicken up, but you can play around with the consistency if you like by adding more water, a bit at a time, if you like. Or simmer longer for a thicker consistency. The thicker this soup got, the more I liked it. I've been enjoying big ladles of this soup over ~1/2 cup of warm farro (leftover from this Farro & Bean Stew) - brown rice was good as well. Sprinkle each bowl generously with cilantro and the remaining green onions."
9,coconut-red-lentil-soup-recipe,0.3,1.0,cup tomato paste,37.46,"Give the split peas and lentils a good rinse - until they no longer put off murky water. Place them in an extra-large soup pot, cover with the water, and bring to a boil. Reduce heat to a simmer and add the carrot and 1/4 of the ginger. Cover and simmer for about 30 minutes, or until the split peas are soft. In the meantime, in a small dry skillet or saucepan over low heat, toast the curry powder until it is quite fragrant. Be careful though, you don't want to burn the curry powder, just toast it. Set aside. Place the butter in a pan over medium heat, add half of the green onions, the remaining ginger, and raisins. Saute for two minutes stirring constantly, then add the tomato paste and saute for another minute or two more. Add the toasted curry powder to the tomato paste mixture, mix well, and then add this to the simmering soup along with the coconut milk and salt. Simmer, uncovered, for 20 minutes or so. The texture should thicken up, but you can play around with the consistency if you like by adding more water, a bit at a time, if you like. Or simmer longer for a thicker consistency. The thicker this soup got, the more I liked it. I've been enjoying big ladles of this soup over ~1/2 cup of warm farro (leftover from this Farro & Bean Stew) - brown rice was good as well. Sprinkle each bowl generously with cilantro and the remaining green onions."
